RGB,缴纳地,个人-养老,个人-医疗,个人-失业,个人-大病,个人-公积金,个人-合计,社保-上限,社保-下限,医疗-上限,医疗-下限,公积金-上限,公积金-下限
DCCS,上海,8.00%,2.00%,0.50%,,12.00%,22.50%,37302,7460,37302,7460,37302,2690
DCCS,成都,8.00%,2.00%,0.40%,,8.00%,18.40%,22938,4588,22938,4588,31378,2100
DCCS,大连,8.00%,2.10%,0.50%,,12.00%,22.60%,21792,4359,24570,4914,30669,2100
DCCS,广州,8.00%,2.00%,0.20%,,12.00%,22.20%,27501,5500,31179,6236,39828,2500
DCCS,西安,8.00%,2.00%,0.30%,1.60 ,7.00%,17.30%,23250,4650,23250,4650,31716,2160
DCCS,北京,8.00%,2.00%,0.50%,3.00 ,12.00%,22.50%,35811,7162,35811,7162,35811,2540
RBCV,上海,8.00%,2.00%,0.50%,,,10.50%,37302,7460,37302,7460,37302,2690
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
